Type,Name,Valid,Air,Earth,Fire,Water,Life,Magic,Ingredient 1,,Ingredient 2,,Ingredient 3,,Ingredient 4,,Ingredient 5,,Ingredient 6,,Ingredient 7,,Ingredient 8,,Ingredient 9
minecraft,acacia_boat,Yes,0,0,0,0,20,0,util.boat,1,,,,,,,,,,,,,,,
minecraft,acacia_button,Yes,0,0,0,0,4,0,util.wooden_button,1,,,,,,,,,,,,,,,
minecraft,acacia_chest_boat,Yes,0,0,0,0,52,0,util.chest_boat,1,,,,,,,,,,,,,,,
minecraft,acacia_door,Yes,0,0,0,0,4,0,util.wooden_door,0.5,,,,,,,,,,,,,,,
minecraft,acacia_fence,Yes,0,0,0,0,8.33,0,util.fence,1,,,,,,,,,,,,,,,
minecraft,acacia_fence_gate,Yes,0,0,0,0,16,0,util.fence_gate,1,,,,,,,,,,,,,,,
minecraft,acacia_hanging_sign,Yes,0,7,0,0,16,0,minecraft.chain,0.33,minecraft.stripped_acacia_log,1,,,,,,,,,,,,,
minecraft,acacia_leaves,Yes,2,0,0,1,2,0,util.leaves,1,,,,,,,,,,,,,,,
minecraft,acacia_log,Yes,0,0,0,0,16,0,util.log,1,,,,,,,,,,,,,,,
minecraft,acacia_planks,Yes,0,0,0,0,4,0,util.planks,1,,,,,,,,,,,,,,,
minecraft,acacia_pressure_plate,Yes,0,0,0,0,8,0,util.wooden_pressure_plate,1,,,,,,,,,,,,,,,
minecraft,acacia_sapling,Yes,0,0,0,2,2,0,util.sapling,1,,,,,,,,,,,,,,,
minecraft,acacia_sign,Yes,0,0,0,0,8.67,0,util.sign,1,,,,,,,,,,,,,,,
minecraft,acacia_slab,Yes,0,0,0,0,2,0,util.wooden_slab,1,,,,,,,,,,,,,,,
minecraft,acacia_stairs,Yes,0,0,0,0,6,0,util.wooden_stairs,1,,,,,,,,,,,,,,,
minecraft,acacia_trapdoor,Yes,0,0,0,0,12,0,util.wooden_trapdoor,1,,,,,,,,,,,,,,,
minecraft,acacia_wood,Yes,0,0,0,0,16,0,minecraft.acacia_log,1,,,,,,,,,,,,,,,
minecraft,activator_rail,Yes,0,17,1.33,0,1,1.33,minecraft.iron_ingot,1,minecraft.stick,0.33,minecraft.redstone_torch,0.17,,,,,,,,,,,
minecraft,allium,Yes,0,0,0,2,2,0,util.flower,1,,,,,,,,,,,,,,,
minecraft,amethyst_block,Yes,16,64,0,0,0,16,minecraft.amethyst_shard,4,,,,,,,,,,,,,,,
minecraft,amethyst_cluster,Yes,4,16,0,0,0,4,,,,,,,,,,,,,,,,,
minecraft,amethyst_shard,Yes,4,16,0,0,0,4,,,,,,,,,,,,,,,,,
minecraft,ancient_debris,Yes,0,64,64,0,64,0,,,,,,,,,,,,,,,,,
minecraft,andesite,Yes,0,2,0,0,0,0,util.stone,1,,,,,,,,,,,,,,,
minecraft,andesite_slab,Yes,0,1,0,0,0,0,minecraft.andesite,0.5,,,,,,,,,,,,,,,
minecraft,andesite_stairs,Yes,0,3,0,0,0,0,minecraft.andesite,1.5,,,,,,,,,,,,,,,
minecraft,andesite_wall,Yes,0,2,0,0,0,0,minecraft.andesite,1,,,,,,,,,,,,,,,
minecraft,angler_pottery_sherd,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,anvil,Yes,0,496,0,0,0,0,minecraft.iron_block,3,minecraft.iron_ingot,4,,,,,,,,,,,,,
minecraft,apple,Yes,1,1,0,2,4,0,,,,,,,,,,,,,,,,,
minecraft,archer_pottery_sherd,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,armor_stand,Yes,0,1,0,0,12,0,minecraft.stick,6,minecraft.smooth_stone_slab,1,,,,,,,,,,,,,
minecraft,arms_up_pottery_sherd,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,arrow,Yes,4,4,0,0,4,0,minecraft.flint,1,minecraft.stick,1,minecraft.feather,1,,,,,,,,,,,
minecraft,axolotl_bucket,No,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
minecraft,azalea,Yes,0,0,0,2,2,0,util.sapling,1,,,,,,,,,,,,,,,
minecraft,azalea_leaves,Yes,2,0,0,1,2,0,util.leaves,1,,,,,,,,,,,,,,,
minecraft,azure_bluet,Yes,0,0,0,2,2,0,util.flower,1,,,,,,,,,,,,,,,
minecraft,baked_potato,Yes,0,1,0,1,2,0,,,,,,,,,,,,,,,,,
minecraft,bamboo,Yes,0,0,0,0,1.78,0,minecraft.bamboo_block,0.11,,,,,,,,,,,,,,,
minecraft,bamboo_block,Yes,0,0,0,0,16,0,minecraft.bamboo_planks,4,,,,,,,,,,,,,,,
minecraft,bamboo_button,Yes,0,0,0,0,4,0,util.wooden_button,1,,,,,,,,,,,,,,,
minecraft,bamboo_chest_raft,Yes,0,0,0,0,52,0,util.chest_boat,1,,,,,,,,,,,,,,,
minecraft,bamboo_door,Yes,0,0,0,0,4,0,util.wooden_door,0.5,,,,,,,,,,,,,,,
minecraft,bamboo_fence,Yes,0,0,0,0,8.33,0,util.fence,1,,,,,,,,,,,,,,,
minecraft,bamboo_fence_gate,Yes,0,0,0,0,16,0,util.fence_gate,1,,,,,,,,,,,,,,,
minecraft,bamboo_hanging_sign,Yes,0,7,0,0,16,0,util.hanging_sign,1,,,,,,,,,,,,,,,
minecraft,bamboo_mosaic,Yes,0,0,0,0,4,0,minecraft.bamboo_planks,1,,,,,,,,,,,,,,,
minecraft,bamboo_mosaic_slab,Yes,0,0,0,0,2,0,util.wooden_slab,1,,,,,,,,,,,,,,,
minecraft,bamboo_mosaic_stairs,Yes,0,0,0,0,6,0,util.wooden_stairs,1,,,,,,,,,,,,,,,
minecraft,bamboo_planks,Yes,0,0,0,0,4,0,util.planks,1,,,,,,,,,,,,,,,
minecraft,bamboo_pressure_plate,Yes,0,0,0,0,8,0,util.wooden_pressure_plate,1,,,,,,,,,,,,,,,
minecraft,bamboo_raft,Yes,0,0,0,0,20,0,util.boat,1,,,,,,,,,,,,,,,
minecraft,bamboo_sign,Yes,0,0,0,0,8.67,0,util.sign,1,,,,,,,,,,,,,,,
minecraft,bamboo_slab,Yes,0,0,0,0,2,0,util.wooden_slab,1,,,,,,,,,,,,,,,
minecraft,bamboo_stairs,Yes,0,0,0,0,6,0,util.wooden_stairs,1,,,,,,,,,,,,,,,
